소방서 및 안전센터명,위도,경도,시도,시군구,상세주소,상위 본부명
강서소방서_부산-강동-119 안전센터,35.174757,128.9160116,부산광역시,강서구,제도로 696(강동동),부산소방안전본부
강서소방서_부산-대저-119 안전센터,35.2157185,128.9768221,부산광역시,강서구,대저로221번길 25(대저동),부산소방안전본부
강서소방서_부산-신호-119 안전센터,35.0854377,128.8795395,부산광역시,강서구,신호산단4로 62(신호동),부산소방안전본부
강서소방서_부산-녹산-119 안전센터,35.0896166,128.8567949,부산광역시,강서구,녹산산단361로 9(송정동),부산소방안전본부
남부소방서_부산-용당-119 안전센터,35.1206377,129.0986493,부산광역시,남구,신선로 398(용당동),부산소방안전본부
남부소방서_부산-망미-119 안전센터,35.176343,129.106388,부산광역시,수영구,과정로55번길 16(망미동),부산소방안전본부
남부소방서_부산-대연-119 안전센터,35.13623,129.0970253,부산광역시,남구,수영로 279(대연동),부산소방안전본부
남부소방서_부산-감만-119 안전센터,35.1177385,129.0805284,부산광역시,남구,우암로 81(감만동),부산소방안전본부
남부소방서_부산-광안-119 안전센터,35.1631655,129.1070458,부산광역시,수영구,광일로 64(광안동),부산소방안전본부
금정소방서-반송-119 안전센터,35.225382,129.1469919,부산광역시,해운대구,아랫반송로 10(반송동),부산소방안전본부
금정소방서-금정_남산-119 안전센터,35.2614346,129.0868811,부산광역시,금정구,두실로 46(남산동),부산소방안전본부
금정소방서-서동-119 안전센터,35.2090357,129.1032981,부산광역시,동래구,반송로 331(명장동),부산소방안전본부
금정소방서-금정_부곡-119 안전센터,35.2440955,129.0928131,부산광역시,금정구,중앙대로 1789(부곡동),부산소방안전본부
해운대소방서-센텀-119 안전센터,35.1737606,129.1307991,부산광역시,해운대구,센텀동로 50(우동),부산소방안전본부
해운대소방서-좌동-119 안전센터,35.1736444,129.16647,부산광역시,해운대구,대천로 67번길 35(좌동),부산소방안전본부
해운대소방서-반여-119 안전센터,35.197491,129.117714,부산광역시,해운대구,선수촌로 21번길 64(반여동),부산소방안전본부
해운대소방서-해운대_중동-119 안전센터,35.1606971,129.1758624,부산광역시,해운대구,달맞이길 117번길 72(중동),부산소방안전본부
해운대소방서-우동-119 안전센터,35.1593466,129.1436628,부산광역시,해운대구,해운대해변로 106(우동),부산소방안전본부
사하소방서-감천-119 안전센터,35.0863046,129.0047954,부산광역시,사하구,원양로 405(감천동),부산소방안전본부
사하소방서-다대-119 안전센터,35.0511765,128.9703669,부산광역시,사하구,다대로 622(다대동),부산소방안전본부
사하소방서-하단-119 안전센터,35.1065237,128.9655906,부산광역시,사하구,낙동남로 1407(하단동),부산소방안전본부
사하소방서-괴정-119 안전센터,35.0994224,128.9883833,부산광역시,사하구,낙동대로 262(괴정동),부산소방안전본부
사하소방서-사하_신평-119 안전센터,35.090107,128.9733717,부산광역시,사하구,장평로 270(신평동),부산소방안전본부
북부소방서_부산-만덕-119 안전센터,35.2048093,129.0331892,부산광역시,북구,함박봉로 142(만덕동),부산소방안전본부
북부소방서_부산-금곡-119 안전센터,35.2672881,129.0176491,부산광역시,북구,금곡대로616번길 151(금곡동),부산소방안전본부
북부소방서_부산-학장-119 안전센터,35.1396896,128.9904597,부산광역시,사상구,학감대로 89(학장동),부산소방안전본부
북부소방서_부산-모라-119 안전센터,35.1909804,128.9922759,부산광역시,사상구,백양대로 950(모라동),부산소방안전본부
북부소방서_부산-주례-119 안전센터,35.1540872,129.0041481,부산광역시,사상구,양지로22번길 7(주례동),부산소방안전본부
북부소방서_부산-화명-119 안전센터,35.2252887,129.0103213,부산광역시,북구,금곡대로 184(화명동),부산소방안전본부
북부소방서_부산-구포-119 안전센터,35.2106544,129.0087257,부산광역시,북구,만덕대로 31(덕천동),부산소방안전본부
북부소방서_부산-감전-119 안전센터,35.1518805,128.9773878,부산광역시,사상구,가야대로 41(감전동),부산소방안전본부
북부소방서_부산-삼락-119 안전센터,35.174463,128.978749,부산광역시,사상구,삼덕로 17(삼락동),부산소방안전본부
동래소방서-동래_사직-119 안전센터,35.1946642,129.0592537,부산광역시,동래구,체육공원로 74(사직동),부산소방안전본부
동래소방서-양정-119 안전센터,35.1753992,129.0759106,부산광역시,부산진구,연제로9번길 42(양정동),부산소방안전본부
동래소방서-온천-119 안전센터,35.2231298,129.0775825,부산광역시,동래구,우장춘로 196(온천동),부산소방안전본부
동래소방서-수안-119 안전센터,35.1981607,129.0838088,부산광역시,동래구,명륜로45번길 7(수안동),부산소방안전본부
